Time (s),CPU (%),Mem (%),Mem Total (MB),Mem Used (MB),Protocol (FPS),Protocol RTT (ms),GPU0 (%),GPU0 Mem (%),GPU0 Encode (%),GPU0 Decode (%),GPU0 Mem Total (MB),GPU0 Mem Used (MB)
0,10.31,47.00,16313,7740,0,0,5.00,6.53,0.00,0.00,6144,401
1,65.23,48.00,16313,7967,0,0,3.00,6.53,0.00,0.00,6144,401
2,54.10,48.00,16313,7919,0,0,1.00,6.53,0.00,0.00,6144,401
3,21.09,48.00,16313,7975,0,0,2.00,7.26,0.00,0.00,6144,446
4,22.07,49.00,16313,8086,0,0,1.00,7.28,0.00,0.00,6144,447
5,16.99,49.00,16313,8129,0,0,1.00,7.28,0.00,0.00,6144,447
6,14.84,49.00,16313,8122,0,0,2.00,8.84,0.00,0.00,6144,543
7,26.76,49.00,16313,8154,0,0,25.00,10.14,0.00,0.00,6144,623
8,27.73,49.00,16313,8113,0,0,14.00,11.25,0.00,0.00,6144,691
9,22.85,49.00,16313,8130,0,0,4.00,12.83,0.00,0.00,6144,788
10,21.88,49.00,16313,8137,0,0,15.00,16.49,0.00,0.00,6144,1013
11,37.70,51.00,16313,8340,0,0,8.00,17.68,0.00,0.00,6144,1086
12,36.91,51.00,16313,8383,0,0,39.00,17.15,0.00,0.00,6144,1054
13,97.27,52.00,16313,8599,0,0,5.00,17.20,0.00,0.00,6144,1057
14,100.00,53.00,16313,8647,0,0,15.00,17.68,0.00,0.00,6144,1086
15,97.85,54.00,16313,8924,0,0,41.00,18.10,0.00,0.00,6144,1112
16,98.63,55.00,16313,9064,0,0,39.00,18.23,0.00,0.00,6144,1120
17,99.80,56.00,16313,9286,0,0,39.00,18.82,0.00,0.00,6144,1156
18,98.44,58.00,16313,9592,0,0,19.00,19.14,0.00,0.00,6144,1176
19,79.81,58.00,16313,9616,0,0,26.00,19.14,0.00,0.00,6144,1176
20,19.14,59.00,16313,9669,0,0,44.00,19.56,0.00,0.00,6144,1202
21,29.10,59.00,16313,9646,0,0,38.00,19.56,0.00,0.00,6144,1202
22,32.23,59.00,16313,9659,0,0,30.00,19.56,0.00,0.00,6144,1202
23,16.21,59.00,16313,9654,0,0,40.00,19.56,0.00,0.00,6144,1202
24,45.01,59.00,16313,9649,0,0,28.00,19.56,0.00,0.00,6144,1202
25,14.62,59.00,16313,9661,0,0,34.00,19.56,0.00,0.00,6144,1202
26,15.96,59.00,16313,9630,0,0,38.00,19.56,0.00,0.00,6144,1202
27,50.59,59.00,16313,9651,0,0,27.00,19.56,0.00,0.00,6144,1202
28,21.29,58.00,16313,9503,0,0,39.00,19.56,0.00,0.00,6144,1202
29,29.88,58.00,16313,9486,0,0,35.00,19.56,0.00,0.00,6144,1202
30,29.88,58.00,16313,9511,0,0,30.00,19.56,0.00,0.00,6144,1202
31,16.41,58.00,16313,9511,0,0,38.00,19.56,0.00,0.00,6144,1202
32,41.80,58.00,16313,9495,0,0,29.00,19.56,0.00,0.00,6144,1202
33,14.84,58.00,16313,9512,0,0,38.00,19.56,0.00,0.00,6144,1202
34,14.84,58.00,16313,9512,0,0,39.00,19.56,0.00,0.00,6144,1202
35,45.31,58.00,16313,9522,0,0,28.00,19.56,0.00,0.00,6144,1202
36,15.77,58.00,16313,9532,0,0,40.00,19.56,0.00,0.00,6144,1202
37,31.73,58.00,16313,9502,0,0,35.00,19.56,0.00,0.00,6144,1202
38,26.56,58.00,16313,9531,0,0,30.00,19.56,0.00,0.00,6144,1202
39,13.65,58.00,16313,9531,0,0,39.00,19.56,0.00,0.00,6144,1202
40,45.90,58.00,16313,9534,0,0,29.00,19.56,0.00,0.00,6144,1202
41,15.96,58.00,16313,9535,0,0,39.00,19.56,0.00,0.00,6144,1202
42,15.04,58.00,16313,9534,0,0,40.00,19.56,0.00,0.00,6144,1202
43,43.16,58.00,16313,9533,0,0,29.00,19.56,0.00,0.00,6144,1202
44,16.99,58.00,16313,9534,0,0,40.00,19.56,0.00,0.00,6144,1202
45,36.52,58.00,16313,9534,0,0,35.00,19.56,0.00,0.00,6144,1202
46,25.98,58.00,16313,9539,0,0,41.00,19.56,0.00,0.00,6144,1202
47,18.95,58.00,16313,9533,0,0,28.00,19.56,0.00,0.00,6144,1202
48,49.80,58.00,16313,9541,0,0,19.00,19.60,0.00,0.00,6144,1204
49,15.23,58.00,16313,9537,0,0,33.00,19.58,0.00,0.00,6144,1203
50,14.84,58.00,16313,9545,0,0,36.00,19.58,0.00,0.00,6144,1203
51,45.51,58.00,16313,9547,0,0,28.00,19.58,0.00,0.00,6144,1203
52,15.43,58.00,16313,9548,0,0,40.00,19.58,0.00,0.00,6144,1203
53,35.55,58.00,16313,9548,0,0,34.00,19.58,0.00,0.00,6144,1203
54,26.37,58.00,16313,9562,0,0,33.00,19.58,0.00,0.00,6144,1203
55,16.21,58.00,16313,9560,0,0,38.00,19.58,0.00,0.00,6144,1203
56,46.29,58.00,16313,9570,0,0,30.00,19.58,0.00,0.00,6144,1203
57,16.02,58.00,16313,9580,0,0,43.00,19.58,0.00,0.00,6144,1203
58,15.58,58.00,16313,9581,0,0,23.00,19.58,0.00,0.00,6144,1203
59,44.92,58.00,16313,9598,0,0,21.00,19.58,0.00,0.00,6144,1203
60,15.43,58.00,16313,9598,0,0,36.00,19.58,0.00,0.00,6144,1203
61,13.67,58.00,16313,9594,0,0,22.00,19.56,0.00,0.00,6144,1202
62,12.11,47.00,16313,7680,0,0,2.00,6.53,0.00,0.00,6144,401
